date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:07	49271/49271	U-----	200	untouched ('OK')	text/html	etag:W/%22c077-5dacd23f734ce%22	https://gamezone.io/	/Users/darboe/CS1/ACP/GameZone%203/gamezone.io/index.html	(from )
17:56:08	4224/4224	---MCZ	200	added ('OK')	text/html	etag:W/%2261a2e2d6-1080%22	https://app.gamezone.io/	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/index.html	(from )
17:56:09	4224/4224	---MCZ	200	added ('OK')	text/html	etag:W/%2261a2e2d6-1080%22	https://app.gamezone.io/projects	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/projects.html	(from https://gamezone.io/)
17:56:10	4224/4224	---MCZ	200	added ('OK')	text/html	etag:W/%2261a2e2d6-1080%22	https://app.gamezone.io/terms-conditions	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/terms-conditions.html	(from https://gamezone.io/)
17:56:11	4224/4224	---MCZ	200	added ('OK')	text/html	etag:W/%2261a2e2d6-1080%22	https://app.gamezone.io/privacy-policy	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/privacy-policy.html	(from https://gamezone.io/)
17:56:14	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2010%20Apr%202022%2017:56:14%20GMT	http://app.gamezone.io/images/logo.png	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/images/logo.30.delayed	(from https://app.gamezone.io/)
17:56:14	4224/4224	---MCZ	200	added ('OK')	text/html	etag:W/%2261a2e2d6-1080%22	https://app.gamezone.io/cookies-policy	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/cookies-policy.html	(from https://gamezone.io/)
17:56:15	16421/16421	---M--	200	added ('OK')	image/png	etag:%2261a2e2cf-4025%22	https://app.gamezone.io/images/logo.png	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/images/logo.png	(from https://app.gamezone.io/)
17:56:15	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2010%20Apr%202022%2017:56:15%20GMT	http://app.gamezone.io/manifest.json	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/manifest.json	(from https://app.gamezone.io/)
17:56:17	318/318	---MCZ	200	added ('OK')	application/json	etag:W/%2261a2e2cb-13e%22	https://app.gamezone.io/manifest.json	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/manifest.json	(from https://app.gamezone.io/)
17:56:18	966/966	---MC-	200	added ('OK')	text/css	date:Sun,%2010%20Apr%202022%2017:56:18%20GMT	https://fonts.googleapis.com/css2?family=Mitr:wght@300;400;500;600;700&display=swap	/Users/darboe/CS1/ACP/GameZone%203/fonts.googleapis.com/css2dba2.css	(from https://app.gamezone.io/)
17:56:20	153402/153402	---M-Z	200	added ('OK')	text/css	etag:W/%222573a-gqO6J5BRckWFq3N+rstGLiN6o34%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta2/dist/css/bootstrap.min.css	/Users/darboe/CS1/ACP/GameZone%203/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta2/dist/css/bootstrap.min.css	(from https://app.gamezone.io/)
17:56:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2010%20Apr%202022%2017:56:22%20GMT	https://cdn.materialdesignicons.com/5.4.55/css/materialdesignicons.min.css	/Users/darboe/CS1/ACP/GameZone%203/cdn.materialdesignicons.com/5.4.55/css/materialdesignicons.min.36.delayed	(from https://app.gamezone.io/)
17:56:23	111/111	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2010%20Apr%202022%2017:56:22%20GMT	https://cdn.jsdelivr.net/mdi/5.4.55/css/materialdesignicons.min.css	/Users/darboe/CS1/ACP/GameZone%203/cdn.jsdelivr.net/mdi/5.4.55/css/materialdesignicons.min.css	(from https://app.gamezone.io/)
17:56:24	250422/250422	---M-Z	200	added ('OK')	text/css	etag:W/%223d236-+1GUFQQB1xbFJxuoLlvWA9Vm3l0%22	https://cdn.jsdelivr.net/npm/@mdi/font@5.4.55/css/materialdesignicons.min.css	/Users/darboe/CS1/ACP/GameZone%203/cdn.jsdelivr.net/npm/@mdi/font@5.4.55/css/materialdesignicons.min.css	(from https://app.gamezone.io/)
17:56:26	156228/156228	---MCZ	200	added ('OK')	text/css	etag:W/%22aa1272633e7e552395d147a499bad186%22	https://pro.fontawesome.com/releases/v5.10.0/css/all.css	/Users/darboe/CS1/ACP/GameZone%203/pro.fontawesome.com/releases/v5.10.0/css/all.css	(from https://app.gamezone.io/)
17:56:26	5993/5993	---M-Z	200	added ('OK')	text/css	etag:W/%225a2a20a1-1769%22	https://codeseven.github.io/toastr/build/toastr.min.css	/Users/darboe/CS1/ACP/GameZone%203/codeseven.github.io/toastr/build/toastr.min.css	(from https://app.gamezone.io/)
17:56:27	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2010%20Apr%202022%2017:56:27%20GMT	http://app.gamezone.io/css/style.css?v=1.0.6	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/css/stylec924.css	(from https://app.gamezone.io/)
17:56:29	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2010%20Apr%202022%2017:56:29%20GMT	http://app.gamezone.io/css/theme.css	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/css/theme.css	(from https://app.gamezone.io/)
17:56:29	40868/40868	---MCZ	200	added ('OK')	text/css	etag:W/%2261a2e2cb-9fa4%22	https://app.gamezone.io/css/style.css?v=1.0.6	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/css/stylec924.css	(from https://app.gamezone.io/)
17:56:31	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2010%20Apr%202022%2017:56:31%20GMT	http://app.gamezone.io/static/css/2.b650302e.chunk.css	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/static/css/2.b650302e.chunk.css	(from https://app.gamezone.io/)
17:56:31	24715/24715	---MCZ	200	added ('OK')	text/css	etag:W/%2261a2e2cb-608b%22	https://app.gamezone.io/css/theme.css	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/css/theme.css	(from https://app.gamezone.io/)
17:56:33	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2010%20Apr%202022%2017:56:33%20GMT	http://app.gamezone.io/static/css/main.9166dcff.chunk.css	/Users/darboe/CS1/ACP/GameZone%203/app.gamezone.io/static/css/main.9166dcff.chunk.css	(from https://app.gamezone.io/)
